date,series_x,series_y
2026-01-02,100.00,130.80
2026-01-03,101.20,132.05
2026-01-04,102.40,133.70
2026-01-05,101.70,132.40
2026-01-06,103.50,135.15
2026-01-07,104.10,135.20
2026-01-08,105.80,138.05
2026-01-09,106.30,138.45
2026-01-10,107.90,140.60
2026-01-11,108.50,141.10
2026-01-12,109.20,142.35
2026-01-13,110.80,144.20
2026-01-14,111.30,144.85
2026-01-15,112.60,146.10
2026-01-16,113.40,147.65
2026-01-17,114.20,148.15
2026-01-18,115.70,150.65
2026-01-19,116.50,151.25
2026-01-20,117.80,153.00
2026-01-21,118.60,154.05
